559.50,549.05,559.00,1.09,61.31
315.00,305.50,305.60,-1.13,61.13
956.00,899.40,942.85,4.83,60.54
1229.35,1196.75,1210.05,0.00,60.06
24.70,24.20,24.40,0.00,59.92
1199.90,1161.40,1164.25,0.30,59.91
674.00,621.35,659.10,0.87,59.48
475.50,459.60,473.50,2.07,59.47
2974.00,2875.00,2940.45,1.67,58.56
1835.50,1810.60,1811.00,-0.85,57.37
201.05,185.05,198.05,7.81,55.66
227.50,220.75,224.85,0.85,55.01
1157.65,1111.00,1122.65,-3.02,53.67
773.00,760.15,767.30,0.99,53.49
1695.00,1592.10,1610.50,1.18,53.38
97.20,95.00,96.95,1.36,52.26
1097.60,1061.85,1065.75,-2.36,50.97
160.00,155.00,156.15,1.46,49.56
542.80,536.65,541.60,0.67,49.05
1770.00,1736.00,1741.15,0.18,48.50
1573.00,1543.30,1556.55,0.25,48.15
55.35,53.55,54.55,0.65,46.43
255.00,242.25,254.60,3.37,45.60
132.25,128.70,131.80,2.53,45.22
390.00,379.45,389.45,0.93,45.04
89.95,88.00,88.35,1.14,44.53
1419.00,1398.00,1403.00,-0.09,44.17
1007.00,986.10,1006.00,2.06,43.73
526.00,489.70,516.50,5.81,43.60
5845.00,5515.05,5594.00,0.07,42.12
187.95,184.05,184.10,-1.13,42.08
5450.00,5331.30,5380.00,-0.41,41.91
503.80,482.00,500.70,3.31,41.53
275.00,264.45,272.00,3.72,40.96
39.25,38.30,38.75,0.13,40.45
2555.00,2497.55,2552.00,0.90,39.30
877.15,854.15,864.70,-0.28,39.17
884.00,860.10,862.65,-1.17,38.82
611.00,585.40,608.30,1.32,38.78
114.90,104.75,109.85,3.93,38.51
7830.00,7702.00,7728.60,-1.18,37.77
597.30,588.50,593.85,0.54,37.56
471.00,461.90,465.65,0.81,37.49
229.35,225.00,226.40,-0.24,37.46
339.00,305.00,323.00,8.88,37.40
1484.75,1438.00,1464.65,1.55,36.68
6899.85,6404.00,6621.00,-0.30,36.62
7945.00,7865.05,7883.00,0.07,36.53
114.65,109.80,114.00,2.89,36.37
166.25,162.25,162.40,-1.67,36.04
868.80,850.80,853.35,-0.23,35.74
2348.00,2220.40,2257.90,0.55,35.72
200.70,190.00,195.00,0.41,35.21
772.85,750.10,752.50,-1.07,34.12
202.00,196.00,199.50,-0.55,33.42
5551.70,5231.30,5470.55,3.46,32.46
2799.00,2720.00,2731.90,-0.28,32.24
90.20,87.00,88.60,1.49,31.54
363.70,357.00,359.65,-0.18,31.05
216.80,211.05,214.00,3.41,30.94
297.00,283.10,284.05,-1.80,30.28
2300.00,2228.00,2284.10,0.39,30.06
211.40,204.35,208.60,1.19,29.69
1130.00,1081.75,1107.00,2.91,29.54
368.55,355.25,365.00,1.70,28.50
429.40,420.20,423.00,0.32,28.10
411.85,406.95,410.60,0.59,28.06
142.90,134.20,139.65,4.06,27.52
133.05,129.20,129.80,0.58,27.20
1936.00,1887.25,1916.65,-0.31,27.12
152.40,148.70,149.70,-0.10,27.11
1448.00,1397.90,1428.00,2.43,26.60
48.40,47.30,47.50,-0.84,26.03
1404.70,1370.30,1391.40,1.00,25.77
170.70,166.40,167.90,0.21,25.26
272.60,263.50,266.70,-0.19,25.08
70.60,69.15,69.30,-0.65,24.92
1445.00,1419.05,1436.95,0.28,24.49
391.95,376.90,384.00,-0.86,24.24
464.45,447.50,462.55,0.69,24.19
1281.30,1255.55,1259.35,-1.44,23.88
1862.65,1796.25,1800.50,-3.34,23.04
969.95,948.00,966.35,1.14,22.96
66.75,63.30,63.30,-4.95,22.90
1438.00,1416.25,1420.00,-1.34,22.76
14349.00,14086.30,14090.00,-1.17,22.62
71.20,68.60,69.80,2.12,21.80
956.00,927.75,934.90,-0.09,21.28
1346.70,1310.10,1315.65,-1.72,20.72
869.90,841.05,844.00,-2.78,20.20
56.05,55.15,56.05,4.96,20.18
191.90,180.25,187.95,0.40,19.53
121.00,113.80,117.75,2.04,19.42
81.20,78.55,79.10,-1.25,18.66
121.50,117.35,118.65,-0.34,18.64
5779.00,5650.00,5679.95,0.46,18.31
2317.70,2217.20,2267.20,2.67,18.12
34.85,33.85,34.25,0.44,17.99
1020.00,982.00,991.75,-2.36,17.92
1860.00,1830.25,1846.40,0.75,17.77
1920.05,1881.55,1910.70,1.10,17.65
3332.95,3262.90,3319.50,2.17,17.15
79.80,77.10,78.00,-0.89,16.81
214.25,207.00,211.45,0.74,16.53
72.40,70.60,70.75,-0.77,16.48
30.25,28.95,29.10,-0.17,16.47
3800.00,3676.00,3730.00,1.32,16.23
425.55,417.05,420.00,0.29,15.71
146.45,143.40,144.35,0.42,15.60
2572.00,2431.80,2535.40,3.65,15.53
204.95,199.25,200.20,-1.67,15.34
1544.95,1518.85,1526.20,-0.21,15.16
932.00,900.00,909.95,0.01,14.72
1578.90,1525.40,1562.30,0.90,14.71
1275.00,1224.45,1250.85,1.82,14.59
439.70,417.00,435.00,3.62,14.34
75.80,71.65,74.90,4.10,14.25
544.95,533.00,542.50,1.49,14.18
124.70,120.20,121.45,0.00,13.61
29.85,29.05,29.20,-1.35,13.59
48.50,46.10,46.35,-2.22,13.59
1326.00,1241.65,1300.75,3.84,13.44
776.00,753.00,770.60,0.12,13.39
126.70,122.40,124.40,0.32,13.39
159.90,151.15,155.40,2.30,12.97
4292.00,4149.95,4263.90,1.79,12.93
105.70,102.25,103.35,-2.41,12.93
5.20,5.00,5.00,-4.76,12.92
317.85,308.20,312.50,0.69,12.84
308.15,302.05,305.80,-1.08,12.71
644.00,620.20,638.05,4.08,12.50
254.00,248.95,253.00,0.10,12.47
524.00,501.10,523.80,2.11,12.40
154.75,150.00,151.30,-3.07,12.37
47150.00,45916.45,47058.55,0.96,12.33
1251.45,1222.75,1246.05,1.52,12.30
77.80,76.00,76.80,-0.07,12.14
113.85,111.20,111.50,-1.72,12.13
405.30,398.00,402.45,-0.31,12.13
5275.00,5118.00,5261.30,1.34,12.07
518.85,501.15,513.35,1.48,11.86
30250.00,29365.00,30052.10,1.10,11.78
1600.05,1548.00,1570.00,-0.88,11.75
430.00,415.10,416.00,-3.02,11.74
25.40,24.60,24.65,-1.60,11.70
289.00,278.10,288.20,1.12,11.56
15085.50,14925.55,15000.00,-0.57,11.25
1005.00,985.25,995.00,-0.52,11.23
595.00,581.55,593.00,1.52,11.16
831.55,817.00,829.95,1.04,10.53
554.50,513.10,545.40,-0.07,10.48
340.95,332.10,339.45,0.97,10.38
299.40,292.80,298.30,0.93,10.37
27.15,26.20,26.30,-0.75,10.37
462.80,441.05,454.05,-1.29,10.33
2047.50,1971.05,2046.00,3.62,10.25
412.70,396.05,407.30,0.32,10.23
384.00,370.00,379.70,2.82,10.15
490.40,476.80,479.35,-2.84,10.10
11.15,10.90,10.95,0.00,9.99
151.35,147.30,150.30,1.11,9.89
233.50,227.35,233.00,0.98,9.80
