Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
CESC,612.95,591.10,595.80,-1.36,17.85
JB Chemicals,1268.95,1216.85,1228.50,-0.02,17.80
Quess Corp,700.00,679.00,694.60,1.00,17.77
SKF India,2262.45,2156.85,2223.30,2.18,17.67
Indian Hotels,110.00,105.00,105.70,-2.49,17.55
Future Retail,47.50,44.85,44.85,-4.98,17.20
Birla Corp,923.15,889.00,899.40,-1.03,17.01
Nippon,337.80,330.60,336.20,1.71,16.82
SpiceJet,70.10,68.00,68.35,-1.30,16.59
SUMITOMO,285.85,272.70,285.00,4.20,16.55
Ceat,1575.00,1498.20,1548.30,2.23,16.38
Pfizer,4490.95,4385.00,4470.00,2.29,16.34
Ashoka Buildcon,102.80,95.50,101.00,6.09,16.33
Godrej Agrovet,524.00,488.80,513.00,4.30,16.19
Endurance Techn,1480.00,1428.05,1464.15,1.50,16.19
Bayer CropScien,5225.00,4965.00,5191.85,3.97,16.14
Indian Bank,120.10,114.70,115.40,-2.41,15.93
Westlife Dev,460.00,447.15,460.00,0.10,15.18
Thyrocare Techn,889.00,868.00,874.20,0.87,14.92
Guj State Petro,269.80,260.40,267.20,0.53,14.71
Edelweiss,70.50,66.60,66.60,-4.99,14.63
Lakshmi Machine,7000.00,6690.00,6910.00,3.33,14.47
GMM Pfaudler,4230.00,4110.00,4188.80,0.90,14.17
Hindustan Aeron,1005.00,992.20,1000.20,1.34,13.68
Bajaj Electric,997.00,961.05,987.90,3.83,13.52
KEI Industries,534.00,516.65,527.65,1.75,13.33
South Ind Bk,8.50,8.15,8.20,-2.38,13.33
TeamLease Ser.,3771.00,3559.25,3681.50,4.47,13.22
Prestige Estate,312.00,294.50,309.15,0.34,13.20
Sundaram Fin,2588.00,2481.05,2537.00,1.55,13.17
Welspun India,85.45,82.15,83.60,0.00,13.10
AAVAS Financier,2437.35,2298.15,2395.95,3.69,13.09
Blue Star,925.00,899.00,909.90,2.30,13.07
CreditAccess Gr,687.00,640.05,679.60,1.58,13.06
Jubilant Pharmo,717.70,668.90,705.75,6.22,13.06
Ujjivan Financi,216.35,208.35,209.90,-1.73,12.99
Bajaj Consumer ,266.85,258.70,261.60,-1.08,12.93
DCB Bank,106.50,102.75,105.90,3.57,12.86
VIP Industries,356.95,338.70,347.25,-0.87,12.76
Trident,14.35,13.85,14.20,3.65,12.74
IIFL Finance,284.00,262.30,269.40,-2.43,12.59
SJVN,28.00,25.20,26.50,5.16,12.43
Minda Ind,568.70,545.65,554.35,2.25,12.43
Orient Electric,319.80,309.25,310.35,-0.42,12.33
Cochin Shipyard,381.55,352.00,369.30,4.35,12.32
Finolex Cables,391.75,380.75,389.25,1.14,12.26
Jindal (Hisar),126.15,119.85,123.05,2.63,12.07
Atul,7093.25,6986.70,7053.10,0.48,12.00
GSFC,83.90,81.50,81.80,-0.61,11.96
Chambal Fert,230.00,221.00,225.85,-0.55,11.95
