Company Name,High,Low,Last Price,% Chg,Value (Rs. cr.)
EID Parry,331.95,321.45,324.50,0.08,3.89
DCM Shriram,505.70,488.00,493.40,1.54,3.83
Dhanuka Agritec,696.00,672.10,679.05,-1.32,3.83
KPR Mill,1100.00,1022.00,1059.65,3.01,3.73
IFCI,13.00,12.20,12.25,-3.54,3.66
Sobha,454.90,442.00,451.50,1.68,3.64
FDC,283.25,276.00,281.00,2.11,3.63
CRISIL,1898.05,1871.20,1888.70,0.29,3.60
Mahindra CIE,165.95,160.05,162.90,-1.12,3.57
JM Financial,89.80,86.35,87.45,-0.51,3.56
Lemon Tree Hote,37.90,35.25,35.70,-2.86,3.54
ITI,117.95,114.60,115.25,-0.35,3.51
Orient Cement,100.00,95.50,96.65,0.73,3.51
Johnson Control,2625.00,2565.80,2616.45,2.41,3.50
Jyothy Labs,141.70,136.80,137.00,-0.47,3.42
GlaxoSmithKline,1429.70,1410.45,1426.20,1.47,3.40
Motilal Oswal,643.30,631.30,634.30,0.39,3.36
TTK Prestige,7380.00,7140.45,7346.25,3.04,3.36
Spandana Sphoor,605.45,577.55,591.65,-0.20,3.30
JK Bank,26.30,25.65,26.00,0.97,3.26
Chola Fin Hold,603.00,588.10,597.30,1.84,3.05
DB Corp,94.25,90.10,92.40,2.33,3.04
Bliss GVS,103.80,99.90,100.40,-1.28,2.98
Guj Alkali,342.00,335.00,338.65,0.85,2.94
Time Techno,60.75,59.00,59.80,-0.50,2.89
Swan Energy,135.95,132.40,134.20,0.68,2.84
GE Power India,284.05,270.60,279.95,0.85,2.83
Kalpataru Power,380.90,370.45,378.25,2.67,2.80
VRL Logistics,240.90,228.40,231.05,-3.63,2.78
Grindwell Norto,955.00,894.35,930.35,4.70,2.75
Schneider Infra,98.50,94.00,94.40,-1.20,2.72
NESCO,526.65,517.70,520.30,-0.28,2.72
Mahindra Logist,576.45,532.65,564.25,2.67,2.70
Suprajit Eng,277.15,269.60,270.25,0.02,2.66
Gujarat Pipavav,99.65,96.20,98.25,2.13,2.58
Timken,1289.00,1250.05,1273.90,1.43,2.51
Heritage Foods,311.75,295.00,296.50,-2.99,2.39
Shree Renuka,9.65,9.30,9.35,0.00,2.32
